text,label
Claim a free smartphone! now and enjoy exclusive benefits. Code: 8328,spam
Hey! Are you up for meeting online? Let me know!,ham
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 7701,scam
Everyone thinks you're pathetic. Just stop!,toxic
Win a free beauty product! this instant and enjoy exclusive benefits. Code: 9824,spam
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 895,scam
You've always been the worst. Just stop!,toxic
Get your hands on a free fitness tracker! now and enjoy exclusive benefits. Code: 2305,spam
Hey! Are you up for game night at home? Let me know!,ham
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 7100,scam
You've always been pathetic. Just stop!,toxic
Claim a free fitness tracker! today and enjoy exclusive benefits. Code: 4297,spam
Hey! Are you up for movie night at the park? Let me know!,ham
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 9382,scam
It's obvious you're pathetic. Just stop!,toxic
Secure a free vacation! today and enjoy exclusive benefits. Code: 1697,spam
Hey! Are you up for movie night downtown? Let me know!,ham
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 3650,scam
It's obvious you're a disappointment. Just stop!,toxic
Grab a free smartphone! now and enjoy exclusive benefits. Code: 4693,spam
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 5992,scam
Can't you see you're the worst. Just stop!,toxic
Secure a free beauty product! right away and enjoy exclusive benefits. Code: 5784,spam
Hey! Are you up for dinner at home? Let me know!,ham
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 39,scam
Everyone thinks you're terrible. Just stop!,toxic
Claim a free beauty product! this instant and enjoy exclusive benefits. Code: 6149,spam
Hey! Are you up for study session at my place? Let me know!,ham
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 777,scam
Can't you see you're a disappointment. Just stop!,toxic
Get your hands on a free beauty product! today and enjoy exclusive benefits. Code: 2705,spam
Hey! Are you up for dinner at the park? Let me know!,ham
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 5373,scam
Win a free fitness tracker! this instant and enjoy exclusive benefits. Code: 6745,spam
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 1699,scam
You've always been terrible. Just stop!,toxic
Get your hands on a free fitness tracker! right away and enjoy exclusive benefits. Code: 829,spam
Hey! Are you up for movie night online? Let me know!,ham
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 4552,scam
Secure a free vacation! right away and enjoy exclusive benefits. Code: 1490,spam
Hey! Are you up for game night at my place? Let me know!,ham
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 389,scam
You've always been horrible. Just stop!,toxic
Secure a free fitness tracker! now and enjoy exclusive benefits. Code: 2677,spam
Hey! Are you up for movie night at home? Let me know!,ham
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 6928,scam
Can't you see you're terrible. Just stop!,toxic
Claim a free beauty product! this instant and enjoy exclusive benefits. Code: 8211,spam
Hey! Are you up for study session at home? Let me know!,ham
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 9984,scam
Get your hands on a free fitness tracker! right away and enjoy exclusive benefits. Code: 9243,spam
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 1113,scam
Everyone thinks you're the worst. Just stop!,toxic
Secure a free laptop! now and enjoy exclusive benefits. Code: 3298,spam
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 8178,scam
Grab a free vacation! right away and enjoy exclusive benefits. Code: 7383,spam
Hey! Are you up for meeting at the park? Let me know!,ham
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 9847,scam
Secure a free smartphone! today and enjoy exclusive benefits. Code: 8948,spam
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 5216,scam
It's obvious you're the worst. Just stop!,toxic
Win a free smartphone! immediately and enjoy exclusive benefits. Code: 7974,spam
Hey! Are you up for meeting downtown? Let me know!,ham
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 5479,scam
Secure a free vacation! today and enjoy exclusive benefits. Code: 1347,spam
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 8907,scam
Claim a free smartphone! right away and enjoy exclusive benefits. Code: 8884,spam
Hey! Are you up for meeting at my place? Let me know!,ham
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 2471,scam
Claim a free fitness tracker! right away and enjoy exclusive benefits. Code: 9221,spam
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 5488,scam
Everyone thinks you're a disappointment. Just stop!,toxic
Get your hands on a free beauty product! now and enjoy exclusive benefits. Code: 6346,spam
Hey! Are you up for study session downtown? Let me know!,ham
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 8286,scam
Grab a free fitness tracker! now and enjoy exclusive benefits. Code: 1952,spam
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 7753,scam
